Item Fat Content,Item Identifier,Item Type,Outlet Establishment Year,Outlet Identifier,Outlet Location Type,Outlet Size,Outlet Type,Item Visibility,Item Weight,Total Sales,Rating
Regular,FDM57,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.075834825,11.65,829.908,4.3
Regular,FDW46,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.070288365,13,643.484,4.3
Regular,FDL09,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.128011859,19.6,1.668.816,4.3
Regular,FDD10,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0,20.6,1.781.344,4.3
Regular,DRB13,Soft Drinks,2017,OUT035,Tier 2,Small,Supermarket Type1,0.007043008,6.115,190.353,4.3
low fat,DRN37,Soft Drinks,2017,OUT035,Tier 2,Small,Supermarket Type1,0.09627919,9.6,1.673.158,4.3
reg,FDC10,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.072863893,9.8,1.186.098,4.3
LF,DRH59,Hard Drinks,2011,OUT010,Tier 3,Medium,Grocery Store,0.097805615,10.8,73.938,4.3
Low Fat,FDN12,Baking Goods,2011,OUT010,Tier 3,Medium,Grocery Store,0.13575135,15.6,1.115.544,4.3
Low Fat,FDO60,Baking Goods,2011,OUT010,Tier 3,Medium,Grocery Store,0.057527544,20,431.086,4.3
Low Fat,FDP11,Breads,2011,OUT010,Tier 3,Medium,Grocery Store,0.11566015,15.85,2.183.166,4.3
Low Fat,FDT04,Frozen Foods,2011,OUT010,Tier 3,Medium,Grocery Store,0,17.25,375.822,4.3
Low Fat,FDG45,Fruits and Vegetables,2011,OUT010,Tier 3,Medium,Grocery Store,0.214306131,8.1,2.139.902,4.3
Low Fat,FDA32,Fruits and Vegetables,2011,OUT010,Tier 3,Medium,Grocery Store,0.050371508,14,2.147.192,4.3
Low Fat,FDR43,Fruits and Vegetables,2011,OUT010,Tier 3,Medium,Grocery Store,0.270300331,18.2,38.319,4.3
Low Fat,FDB32,Fruits and Vegetables,2011,OUT010,Tier 3,Medium,Grocery Store,0.039255412,20.6,944.778,4.3
Low Fat,DRG11,Hard Drinks,2011,OUT010,Tier 3,Medium,Grocery Store,0.14032811,6.385,1.091.596,4.3
Low Fat,NCN41,Health and Hygiene,2011,OUT010,Tier 3,Medium,Grocery Store,0.087387669,17,125.073,4.3
Low Fat,NCP02,Household,2011,OUT010,Tier 3,Medium,Grocery Store,0.075000682,7.105,610.562,4.3
Low Fat,NCT30,Household,2011,OUT010,Tier 3,Medium,Grocery Store,0.134393836,9.1,480.718,4.3
Low Fat,NCR42,Household,2011,OUT010,Tier 3,Medium,Grocery Store,0.064410783,9.105,33.39,4.3
Low Fat,NCE43,Household,2011,OUT010,Tier 3,Medium,Grocery Store,0.17314115,12.5,1.684.448,4.3
Low Fat,NCD55,Household,2011,OUT010,Tier 3,Medium,Grocery Store,0.040725405,14,434.454,4.3
Low Fat,FDR46,Snack Foods,2011,OUT010,Tier 3,High,Grocery Store,0.233356571,16.85,146.576,4.3
Low Fat,FDH35,Starchy Foods,2011,OUT010,Tier 3,High,Grocery Store,0.10084386,18.25,1.663.526,4.3
Regular,FDB49,Baking Goods,2011,OUT010,Tier 3,High,Grocery Store,0.05046718,8.3,976.384,4.3
Regular,FDY12,Baking Goods,2011,OUT010,Tier 3,High,Grocery Store,0.235354055,9.8,508.008,4.3
Regular,FDT11,Breads,2011,OUT010,Tier 3,High,Grocery Store,0.049163321,5.94,1.864.556,4.3
Regular,FDR59,Breads,2011,OUT010,Tier 3,High,Grocery Store,0.106894492,14.5,2.604.594,4.3
Regular,FDG38,Canned,2011,OUT010,Tier 3,High,Grocery Store,0.088257771,8.975,841.224,4.3
Regular,FDW26,Dairy,2011,OUT010,Tier 3,High,Grocery Store,0.179191782,11.8,2.242.772,4.3
Regular,FDK03,Dairy,2011,OUT010,Tier 3,High,Grocery Store,0.123727659,12.6,2.530.356,4.3
Regular,FDQ40,Frozen Foods,2011,OUT010,Tier 3,High,Grocery Store,0.060302689,11.1,1.758.712,4.3
Regular,FDR52,Frozen Foods,2011,OUT010,Tier 3,High,Grocery Store,0.127283051,12.65,1.917.846,4.3
Regular,FDO08,Fruits and Vegetables,2011,OUT010,Tier 3,High,Grocery Store,0.090008963,11.1,1.640.526,4.3
Regular,FDW55,Fruits and Vegetables,2011,OUT010,Tier 3,High,Grocery Store,0.036773101,12.6,2.503.092,4.3
Regular,FDC09,Fruits and Vegetables,2011,OUT010,Tier 3,High,Grocery Store,0.044024163,15.5,1.020.332,4.3
Regular,FDS32,Fruits and Vegetables,2011,OUT010,Tier 3,High,Grocery Store,0.049634572,17.75,1.402.838,4.3
Regular,FDV20,Fruits and Vegetables,2011,OUT010,Tier 3,High,Grocery Store,0.100095288,20.2,1.252.678,4.3
Regular,FDS15,Meat,2011,OUT010,Tier 3,High,Grocery Store,0.130657442,9.195,1.064.596,4.3
Regular,FDZ51,Meat,2011,OUT010,Tier 3,High,Grocery Store,0.091310237,11.3,969.094,4.3
Regular,FDU58,Snack Foods,2011,OUT010,Tier 3,High,Grocery Store,0.04855968,6.61,1.884.898,4.3
Regular,FDQ45,Snack Foods,2011,OUT010,Tier 3,High,Grocery Store,0,9.5,1.823.608,4.3
Regular,FDU46,Snack Foods,2011,OUT010,Tier 3,High,Grocery Store,0.018623146,10.3,87.854,4.3
Low Fat,FDR48,Baking Goods,2000,OUT013,Tier 3,High,Supermarket Type1,0.131394793,11.65,1.519.024,4.3
Low Fat,FDW47,Breads,2000,OUT013,Tier 3,High,Supermarket Type1,0.046336634,15,1.200.414,4.3
Low Fat,FDP37,Breakfast,2000,OUT013,Tier 3,High,Supermarket Type1,0.142986863,15.6,1.303.994,4.3
Low Fat,FDG50,Canned,2000,OUT013,Tier 3,High,Supermarket Type1,0.015259084,7.405,910.146,4.3
Low Fat,FDT37,Canned,2000,OUT013,Tier 3,High,Supermarket Type1,0.035240817,14.15,2.555.014,4.3
Low Fat,FDA13,Canned,2000,OUT013,Tier 3,High,Supermarket Type1,0.078489577,15.85,399.506,4.3
Low Fat,FDP26,Dairy,2000,OUT013,Tier 3,High,Supermarket Type1,0.139436695,7.785,1.030.306,4.3
Low Fat,FDZ15,Dairy,2000,OUT013,Tier 3,High,Supermarket Type1,0.020853376,13.1,1.174.782,4.3
Low Fat,FDD03,Dairy,2000,OUT013,Tier 3,High,Supermarket Type1,0.079739853,13.3,233.03,4.3
Low Fat,DRF03,Dairy,2000,OUT013,Tier 3,High,Supermarket Type1,0.045270426,19.1,388.138,4.3
Low Fat,FDH16,Frozen Foods,2000,OUT013,Tier 3,High,Supermarket Type1,0.052511611,10.5,90.783,4.3
Low Fat,FDD29,Frozen Foods,2000,OUT013,Tier 3,High,Supermarket Type1,0.018395194,12.15,2.516.698,4.3
Low Fat,FDL40,Frozen Foods,2000,OUT013,Tier 3,High,Supermarket Type1,0.011603492,17.7,97.741,4.3
Low Fat,FDY31,Fruits and Vegetables,2000,OUT013,Tier 3,High,Supermarket Type1,0.043526599,5.98,1.484.418,4.3
Low Fat,FDO32,Fruits and Vegetables,2000,OUT013,Tier 3,High,Supermarket Type1,0.120443298,6.36,45.406,4.3
Low Fat,FDG32,Fruits and Vegetables,2000,OUT013,Tier 3,High,Supermarket Type1,0.175849067,19.85,2.220.772,4.3
Low Fat,NCP29,Health and Hygiene,2000,OUT013,Tier 3,High,Supermarket Type1,0.112177581,8.42,659.168,4.3
Low Fat,NCS29,Health and Hygiene,2000,OUT013,Tier 3,High,Supermarket Type1,0.069487587,9,2.666.884,4.3
Low Fat,NCB06,Health and Hygiene,2000,OUT013,Tier 3,High,Supermarket Type1,0.08226356,17.6,160.492,4.3
Low Fat,NCQ53,Health and Hygiene,2000,OUT013,Tier 3,High,Supermarket Type1,0.018889593,17.6,236.259,4.3
Low Fat,NCW53,Health and Hygiene,2000,OUT013,Tier 3,High,Supermarket Type1,0.0304697,18.35,1.913.162,4.3
Low Fat,NCZ30,Household,2000,OUT013,Tier 3,High,Supermarket Type1,0.026163192,6.59,1.215.098,4.3
Low Fat,NCA29,Household,2000,OUT013,Tier 3,High,Supermarket Type1,0.027253711,10.5,1.709.106,4.3
Low Fat,NCN26,Household,2000,OUT013,Tier 3,High,Supermarket Type1,0,10.85,1.190.808,4.3
Low Fat,NCJ18,Household,2000,OUT013,Tier 3,High,Supermarket Type1,0.163805509,12.35,1.176.124,4.3
Low Fat,NCS18,Household,2000,OUT013,Tier 3,High,Supermarket Type1,0.042175992,12.65,1.064.938,4.3
Low Fat,NCG06,Household,2000,OUT013,Tier 3,High,Supermarket Type1,0.029420857,16.35,2.569.646,4.3
Low Fat,NCX30,Household,2000,OUT013,Tier 3,High,Supermarket Type1,0.026598474,16.7,2.458.776,4.3
Low Fat,NCT06,Household,2000,OUT013,Tier 3,High,Supermarket Type1,0.038705317,17.1,1.650.842,4.3
Low Fat,NCF18,Household,2000,OUT013,Tier 3,High,Supermarket Type1,0.088908547,18.35,1.928.504,4.3
Low Fat,NCB18,Household,2000,OUT013,Tier 3,High,Supermarket Type1,0.041256807,19.6,888.514,4.3
Low Fat,NCJ06,Household,2000,OUT013,Tier 3,High,Supermarket Type1,0.034623782,20.1,1.189.782,4.3
Low Fat,NCA06,Household,2000,OUT013,Tier 3,High,Supermarket Type1,0.143164371,20.5,34.919,4.3
Low Fat,NCE42,Household,2000,OUT013,Tier 3,High,Supermarket Type1,0.010593469,21.1,2.342.958,4.3
Low Fat,NCP55,Others,2000,OUT013,Tier 3,High,Supermarket Type1,0.011180713,14.65,538.614,4.3
Low Fat,FDI57,Seafood,2000,OUT013,Tier 3,High,Supermarket Type1,0.053980686,19.85,1.968.768,4.3
Low Fat,FDZ33,Snack Foods,2000,OUT013,Tier 3,High,Supermarket Type1,0.107307677,10.195,1.498.076,4.3
Low Fat,FDT45,Snack Foods,2000,OUT013,Tier 3,High,Supermarket Type1,0,15.85,551.956,4.3
Low Fat,FDV46,Snack Foods,2000,OUT013,Tier 3,High,Supermarket Type1,0.012597384,18.2,141.218,4.3
Low Fat,FDM10,Snack Foods,2000,OUT013,Tier 3,High,Supermarket Type1,0.075908374,18.25,2.134.218,4.3
Low Fat,DRD37,Soft Drinks,2000,OUT013,Tier 3,High,Supermarket Type1,0.013830218,9.8,45.306,4.3
Low Fat,DRG01,Soft Drinks,2000,OUT013,Tier 3,High,Supermarket Type1,0.044840933,14.8,78.367,4.3
Low Fat,FDF35,Starchy Foods,2000,OUT013,Tier 3,High,Supermarket Type1,0.153861181,15,1.085.938,4.3
Regular,FDT12,Baking Goods,2000,OUT013,Tier 3,High,Supermarket Type1,0.049580407,6.215,2.274.062,4.3
Regular,FDZ59,Baking Goods,2000,OUT013,Tier 3,High,Supermarket Type1,0.103935018,6.63,166.85,4.3
Regular,FDY11,Baking Goods,2000,OUT013,Tier 3,High,Supermarket Type1,0.029535852,6.71,675.142,4.3
Regular,FDI48,Baking Goods,2000,OUT013,Tier 3,High,Supermarket Type1,0.055672032,11.85,505.666,4.3
Regular,FDY47,Breads,2000,OUT013,Tier 3,High,Supermarket Type1,0.05443912,8.6,128.831,4.3
Regular,FDR59,Breads,2000,OUT013,Tier 3,High,Supermarket Type1,0.063810405,14.5,2.632.594,4.3
Regular,FDY01,Canned,2000,OUT013,Tier 3,High,Supermarket Type1,0.170141787,11.8,1.167.834,4.3
Regular,FDV04,Frozen Foods,2000,OUT013,Tier 3,High,Supermarket Type1,0.149890395,7.825,1.590.288,4.3
Regular,FDR52,Frozen Foods,2000,OUT013,Tier 3,High,Supermarket Type1,0.075981306,12.65,1.923.846,4.3
Regular,FDH17,Frozen Foods,2000,OUT013,Tier 3,High,Supermarket Type1,0.016639482,16.2,958.726,4.3
Regular,FDE17,Frozen Foods,2000,OUT013,Tier 3,High,Supermarket Type1,0.054410179,20.1,1.513.366,4.3
Regular,FDA07,Fruits and Vegetables,2000,OUT013,Tier 3,High,Supermarket Type1,0.030918873,7.55,1.239.072,4.3
Regular,FDE20,Fruits and Vegetables,2000,OUT013,Tier 3,High,Supermarket Type1,0.005525913,11.35,168.279,4.3
Regular,FDK20,Fruits and Vegetables,2000,OUT013,Tier 3,High,Supermarket Type1,0.04152307,12.6,1.243.072,4.3
Regular,FDA55,Fruits and Vegetables,2000,OUT013,Tier 3,High,Supermarket Type1,0.056941603,17.2,2.225.088,4.3
Regular,FDW07,Fruits and Vegetables,2000,OUT013,Tier 3,High,Supermarket Type1,0.142570104,18,882.514,4.3
Regular,FDW32,Fruits and Vegetables,2000,OUT013,Tier 3,High,Supermarket Type1,0.094218363,18.35,839.882,4.3
Regular,FDC08,Fruits and Vegetables,2000,OUT013,Tier 3,High,Supermarket Type1,0.103363904,19,226.172,4.3
Regular,FDM51,Meat,2000,OUT013,Tier 3,High,Supermarket Type1,0.025904648,11.8,1.024.674,4.3
Regular,FDR27,Meat,2000,OUT013,Tier 3,High,Supermarket Type1,0.096020459,15.1,1.337.942,4.3
Regular,FDJ10,Snack Foods,2000,OUT013,Tier 3,High,Supermarket Type1,0.129395895,5.095,1.403.838,4.3
Regular,FDK10,Snack Foods,2000,OUT013,Tier 3,High,Supermarket Type1,0.040325274,5.785,180.466,4.3
Regular,FDL57,Snack Foods,2000,OUT013,Tier 3,High,Supermarket Type1,0.067020992,15.1,2.603.304,4.3
Regular,FDN34,Snack Foods,2000,OUT013,Tier 3,High,Supermarket Type1,0,15.6,1.706.132,4.3
Regular,FDC34,Snack Foods,2000,OUT013,Tier 3,High,Supermarket Type1,0.172615327,16,1.545.972,4.3
Regular,DRB13,Soft Drinks,2000,OUT013,Tier 3,High,Supermarket Type1,0.007038478,6.115,189.253,4.3
Regular,DRZ11,Soft Drinks,2000,OUT013,Tier 3,High,Supermarket Type1,0.112571187,8.85,1.220.388,4.3
Regular,DRL01,Soft Drinks,2000,OUT013,Tier 3,High,Supermarket Type1,0.077108099,19.5,2.328.958,4.3
LF,FDN09,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.035016754,14.15,2.453.828,4.3
LF,DRD25,Soft Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.079293753,6.135,111.286,4.3
Low Fat,FDH48,Baking Goods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0,13.5,84.554,4.3
Low Fat,FDL36,Baking Goods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.076385385,15.1,88.483,4.3
Low Fat,FDZ48,Baking Goods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.07626905,17.75,1.131.544,4.3
Low Fat,FDO60,Baking Goods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0,20,434.086,4.3
Low Fat,FDK38,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.053506996,6.65,1.500.734,4.3
Low Fat,DRG27,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0,8.895,420.138,4.3
Low Fat,DRF27,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.028533032,8.93,151.434,4.3
Low Fat,FDB15,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.137368051,10.895,2.643.568,4.3
Low Fat,DRE03,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.024325592,19.6,485.718,4.3
Low Fat,FDL16,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.169139066,12.85,46.406,4.3
Low Fat,FDF05,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.026980351,17.5,262.591,4.3
Low Fat,FDB21,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.149125615,7.475,2.416.854,4.3
Low Fat,FDD09,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.021583971,13.5,1.795.976,4.3
Low Fat,FDG57,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.072592873,14.7,485.034,4.3
Low Fat,FDX19,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.097127867,19.1,2.344.958,4.3
Low Fat,DRQ35,Hard Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.042463728,9.3,1.219.388,4.3
Low Fat,NCP29,Health and Hygiene,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.112728355,8.42,658.168,4.3
Low Fat,NCR53,Health and Hygiene,2022,OUT018,Tier 3,Medium,Supermarket Type2,0,12.15,2.244.404,4.3
Low Fat,NCQ53,Health and Hygiene,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.018982338,17.6,237.059,4.3
Low Fat,NCT42,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0249887,5.88,1.503.392,4.3
Low Fat,NCT30,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.080619969,9.1,474.718,4.3
Low Fat,NCI06,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.047912071,11.3,179.866,4.3
Low Fat,NCK30,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.061226969,14.85,2.530.698,4.3
Low Fat,NCW06,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.050545502,16.2,1.916.162,4.3
Low Fat,NCI42,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.01040777,18.75,2.094.954,4.3
Low Fat,NCV30,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.066200667,20.2,61.451,4.3
Low Fat,NCP06,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.039405676,20.7,1.498.366,4.3
Low Fat,FDN15,Meat,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.016802225,17.5,138.518,4.3
Low Fat,NCN19,Others,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.012148836,13.1,191.353,4.3
Low Fat,FDX21,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.085312137,7.05,1.074.912,4.3
Low Fat,FDT58,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.08630486,9,1.680.816,4.3
Low Fat,FDT22,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.112553853,10.395,59.022,4.3
Low Fat,FDY45,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.026248606,17.5,2.551.356,4.3
Low Fat,FDU34,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.075501241,18.25,1.231.046,4.3
Low Fat,FDN21,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.077168705,18.6,1.606.236,4.3
Low Fat,FDO58,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.039738393,19.6,1.637.526,4.3
Low Fat,DRG49,Soft Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.067730081,7.81,2.426.486,4.3
Low Fat,DRE48,Soft Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.017396308,8.43,1.960.768,4.3
Low Fat,DRI49,Soft Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.184254826,14.15,824.276,4.3
Low Fat,DRD13,Soft Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.049279392,15,657.168,4.3
Low Fat,DRI37,Soft Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.108036187,15.85,573.904,4.3
Low Fat,DRG13,Soft Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.037337632,17.25,1.637.526,4.3
Regular,FDX48,Baking Goods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.038042233,17.75,1.542.656,4.3
Regular,FDX47,Breads,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.034745307,6.55,1.588.288,4.3
Regular,FDL13,Breakfast,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.056547986,13.85,232.73,4.3
Regular,FDA37,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.055451725,7.81,1.226.046,4.3
Regular,FDP13,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.134870732,8.1,41.948,4.3
Regular,FDQ25,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.028391879,8.63,1.739.422,4.3
Regular,FDE14,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.031573246,13.65,99.47,4.3
Regular,FDA01,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.054599767,15,594.904,4.3
Regular,FDW38,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.139244918,5.325,530.298,4.3
Regular,FDJ03,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.072689818,12.35,487.692,4.3
Regular,FDK03,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.074221559,12.6,2.559.356,4.3
Regular,FDC40,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.065328932,16,784.986,4.3
Regular,FDT26,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.06823032,18.85,121.044,4.3
Regular,FDM16,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.033692089,8.155,762.354,4.3
Regular,FDH05,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.091283986,14.35,2.326.984,4.3
Regular,FDO31,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.029100745,6.76,80.696,4.3
Regular,FDN08,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0,7.72,1.177.466,4.3
Regular,FDC33,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.069219165,8.96,1.965.768,4.3
Regular,FDO08,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0,11.1,1.655.526,4.3
Regular,FDW19,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.038657256,12.35,110.257,4.3
Regular,FDY20,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.082085787,12.5,922.488,4.3
Regular,FDV19,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.035400659,14.85,1.619.578,4.3
Regular,FDF45,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.012254429,18.2,599.904,4.3
Regular,FDQ27,Meat,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.044432887,5.19,102.899,4.3
Regular,FDY39,Meat,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.047220268,5.305,1.819.608,4.3
Regular,FDM27,Meat,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.15911489,12.35,1.581.946,4.3
Regular,FDU51,Meat,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.096906831,20.2,1.755.028,4.3
Regular,FDS45,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.029616108,5.175,1.077.622,4.3
Regular,FDK10,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.040523265,5.785,177.866,4.3
Regular,FDO46,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.014270394,9.6,1.873.872,4.3
Regular,FDL57,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.067350054,15.1,2.573.304,4.3
Regular,FDS46,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.047449835,17.6,1.181.782,4.3
Regular,DRC13,Soft Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.032573725,8.26,125.073,4.3
Regular,FDE23,Starchy Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.053397642,17.6,46.706,4.3
low fat,DRJ01,Soft Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.115500999,6.135,1.611.236,4.3
reg,FDA04,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.067001825,11.3,2.591.962,4.3
reg,FDS31,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.044372393,13.1,1.803.318,4.3
LF,FDX60,Baking Goods,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.080203852,0,77.996,4.3
LF,FDM20,Fruits and Vegetables,1998,OUT027,Tier 3,Medium,Supermarket Type3,0,0,2.450.144,4.3
LF,FDW08,Fruits and Vegetables,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.147663025,0,106.028,4.3
LF,NCR50,Household,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.011762847,0,153.534,4.3
Low Fat,FDE24,Baking Goods,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.093010026,0,1.430.812,4.3
Low Fat,FDJ48,Baking Goods,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.056161529,0,2.469.118,4.3
Low Fat,FDO60,Baking Goods,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.034203092,0,433.086,4.3
Low Fat,FDR48,Baking Goods,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.130867413,0,1.508.024,4.3
Low Fat,FDA13,Canned,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.078174543,0,399.506,4.3
Low Fat,FDF50,Canned,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.116762173,0,1.989.768,4.3
Low Fat,FDN02,Canned,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.073470234,0,2.053.638,4.3
Low Fat,DRE15,Dairy,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.01769927,0,742.012,4.3
Low Fat,DRF27,Dairy,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.02827966,0,152.234,4.3
Low Fat,FDC17,Frozen Foods,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.015385857,0,2.089.928,4.3
Low Fat,FDH41,Frozen Foods,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.081614376,0,2.147.534,4.3
Low Fat,FDX28,Frozen Foods,1998,OUT027,Tier 3,Medium,Supermarket Type3,0,0,1.007.042,4.3
Low Fat,FDB08,Fruits and Vegetables,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.030952737,0,1.601.578,4.3
Low Fat,FDC32,Fruits and Vegetables,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.098629062,0,906.462,4.3
Low Fat,FDC44,Fruits and Vegetables,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.171761077,0,1.157.518,4.3
Low Fat,FDD08,Fruits and Vegetables,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.035183156,0,378.506,4.3
Low Fat,FDD20,Fruits and Vegetables,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.020614212,0,1.264.046,4.3
Low Fat,FDE08,Fruits and Vegetables,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.049080853,0,1.477.734,4.3
Low Fat,FDE57,Fruits and Vegetables,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.036109413,0,1.406.154,4.3
Low Fat,FDL20,Fruits and Vegetables,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.127792701,0,1.111.886,4.3
Low Fat,FDN20,Fruits and Vegetables,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.026055106,0,1.695.474,4.3
Low Fat,DRK59,Hard Drinks,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.075084457,0,2.339.616,4.3
Low Fat,NCQ17,Health and Hygiene,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.116366304,0,158.363,4.3
Low Fat,NCQ41,Health and Hygiene,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.019386057,0,1.945.794,4.3
Low Fat,NCC18,Household,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.176411579,0,1.732.422,4.3
Low Fat,NCH55,Household,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.034504414,0,125.202,4.3
